X,Y,OBJECTID,PROVIDER,PROJ_NAME,PROJ_ADDRESS,MUNICIPALITY,POSTAL_CODE,PHONE,NUM_UNITS,MANDATE,WEBSITE,NOTES,HOUSING_TYPE,GlobalID
-78.8428774240179,43.8885142673024,115,Durham Regional Local Housing Corporation,Dean Heights,439 Dean Av,Oshawa,L1H 3E3,905-434-5015,51,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,"Seniors; all units are rent-geared-to-income (RGI)",HSA – LHC,{9D067483-374C-4D25-B864-167C605980A1}
-78.8692767684443,43.9376381656576,116,<Null>,Ormond Woods Co-Op,55-275 Ormond Dr,Oshawa,L1K 1S1, 905-436-6075,80,Social Housing,,,Federal Co-op,{D6881499-82D3-4D61-9CDE-3EF4FC2BF97F}
-78.8765831078747,43.9258014370867,118,<Null>,Consideration Co-Op,22 Beatrice St E,Oshawa,L1G 7X6,905-721-1553,99,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,Market and rent-geared-to-income (RGI) units,HSA – Part VII,{118DDD93-C453-4C31-94F5-C5F5EB4C6C52}
-78.8615925021316,43.8973083956979,121,Durham Region Non-Profit Housing Corporation,CY Elsey Building,28 Albert St,Oshawa,L1H 8S5,905-436-6610,55,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,Market and rent-geared-to-income (RGI) units,HSA – Part VII,{781F0989-635B-424C-AEA1-45BB123B8357}
-78.8178214307492,43.9067214675297,122,<Null>,Kingsway Pioneer Home,1250 King St E,Oshawa,L1H 7Y8,905-571-1022,80,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,"Seniors; market and rent-geared-to-income (RGI) units",HSA – Federal,{4A99B010-B12A-4590-B0B8-A0D4290DB8CE}
-78.8641541490479,43.8781679564751,123,<Null>,Interfaith Homes,231 Bloor St W,Oshawa,L1J 1P5,416-406-3009,36,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,Market and rent-geared-to-income (RGI) units,HSA – Part VII,{3EE0E2D3-8D41-464D-8A65-1D04B25064CD}
-78.8631514471967,43.9308507671088,131,Durham Regional Local Housing Corporation,Beatrice Terrace,385 Beatrice St E,Oshawa,L1J 1P5,905-434-5015,50,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,"Seniors; all units are rent-geared-to-income (RGI)",HSA – LHC,{E7ECFEB7-E68E-4C45-AE27-F14A6F23DE94}
-78.8556427788133,43.9319222865995,135,Durham Region Non-Profit Housing Corporation,Beatrice Woods,570-580 Beatrice St E,Oshawa,L1K 2G2,905-436-6610,80,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,Market and rent-geared-to-income (RGI) units,HSA – Part VII,{3C9CE094-C126-4B5F-BDF4-4CC960A7EE13}
-78.8416977693555,43.8874461177452,136,Durham Regional Local Housing Corporation,Lomond,Lomond St/Christine Cr,Oshawa,L1H 5X6,905-434-5015,18,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,All units are rent-geared-to-income (RGI),HSA – LHC,{CD66DAF2-91AE-44BE-9F3D-893CF661FC9E}
-78.833208027537,43.894276292792,137,Durham Regional Local Housing Corporation,Linden/Poplar,Linden St/Poplar St,Oshawa,L1H 6R5,905-434-5015,32,Social Housing,https://www.durham.ca/en/living-here/affordable-housing.aspx?_mid_=24294,All units are rent-geared-to-income (RGI),HSA – LHC,{81C7B1EC-A0A5-4360-A99A-F6A8F705C2A5}
