X,Y,OBJECTID,TYPE,NAME,ADDRESS,TOWN,MUNICIPALITY,POSTAL_CODE,PHONE,COMMENTS,WEBSITE,INTERSECTION,HOURS,PROGRAMS,SEASONAL,GlobalID,Latitude,Longitude
-78.80763515,43.90740608,1214,5,Courtice Health Centre,1450 Highway 2,Courtice,Clarington,L1E 3C3,905-723-8551, ,,,,,,{06848FA4-9947-4FD0-999D-0C09544A9632},43.90726,-78.807661
-78.85853184,43.89819029,652,5,Oshawa Clinic Centre for Sleep Medicine,13 Charles St,Oshawa,Oshawa,L1H 4X5,905-721-4052, ,,,,,,{D79C1300-5157-4E28-81DD-B7BA77A68A83},43.898255,-78.858495
-78.89896787,43.92796304,654,5,Provax Travel and Immunization Clinic,604 Taunton Rd W,Oshawa,Oshawa,L1H 7K4,877-977-6829, ,,,,,,{6AAF05B1-ECFF-4BE3-A2B9-83E12C3BC4D1},43.928411,-78.900434
-78.85958614,43.89808648,656,5,Oshawa Clinic Foot Care Centre,111 King St E,Oshawa,Oshawa,L1H 1B8,905-721-3567, ,,,,,,{34C86AD7-DE80-48B9-943E-B43EA2DCA5F5},43.898267,-78.859471
-78.89513996,43.89162741,658,5,Lakeridge Health Oshawa Eating Disorders Clinic,850 King St W,Oshawa,Oshawa,L1G 4W4,905-576-8711 x4622, ,,,,,,{E197FA93-2565-4015-B881-A56EE65D8F14},43.891565,-78.894746
-78.84145953,43.90347398,660,5,King Street Medical Clinic,600 King St E Unit 17,Oshawa,Oshawa,L1H 1G6,905-432-1017, ,,,,,,{E676422A-70B7-49DB-B693-FE5B4CF55345},43.903568,-78.84156
-78.85913306,43.89839707,661,5,Oshawa Phychological & Counselling Services,117 King St E,Oshawa,Oshawa,L1H 1B8,905-721-7723, ,,,,,,{76B81B4F-19BF-4672-B9B4-81E6777DCDB7},43.898321,-78.859178
-78.87585856,43.92401321,664,5,Lakeridge Health Regional Evaluation Centre,1000 Simcoe St N,Oshawa,Oshawa,L1G 4W4,905-433-4350,Location Changed to 223 Brock St N,,,,,,{587A747D-6A7E-42B8-BB46-5271B74E36B0},43.924077,-78.875889
-78.86177258,43.89466912,665,5,Lakeridge Health Base Hospital,115 Simcoe St S,Oshawa,Oshawa,L1G 4W4,905-433-4350 x4370, ,,,,,,{7473E7A6-6300-49AA-92C5-AEE0A70DE698},43.894694,-78.861653
-78.90219233,43.92719529,672,5,The Airport Dental Centre,1290 Keith Ross Ct,Oshawa,Oshawa,L1H 7K4,905-434-5486, ,,,,,,{CBD38729-E640-4D2A-AB3E-2284211606C2},43.92725,-78.902139
-78.87382494,43.91487003,673,5,Lakeridge Health Outpatient Services,58 Rossland Rd W,Oshawa,Oshawa,L1G 2V5,905-576-8711 x4355,Rehabilitation,,,,,,{169D6783-777A-4761-986F-22CA8EF1A934},43.914887,-78.873667
