X,Y,OBJECTID,FULLNAME,CATEGORY,CATEGORY2,TYPE1,ADDRESS,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
-78.84654177,43.85953334,1,South Oshawa Community Centre,Community Centre,Community Centre, ,1455 CEDAR ST,43.859358,-78.846491,0.9,rooftop,1455,Cedar St,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.83391998,43.9050803,2,Harmony Creek Community Centre,Community Centre,Community Centre, ,15 HARMONY RD N,43.905071,-78.833351,1,rooftop,15,Harmony Rd N,,,Oshawa,ON,,L1G,CA,Township of Durham
-78.8458876,43.87801214,3,Harman/Cordova Community Centre,Community Centre,Community Centre, ,799 DOUGLAS ST,43.878062,-78.845873,0.9,rooftop,799,Douglas St,,,Columbus,ON,,L1H,CA,Township of Durham
-78.90978895,43.98090503,4,Columbus Community Centre,Community Centre,Community Centre, ,3265 SIMCOE ST N,43.980942,-78.909843,0.9,rooftop,3265,Simcoe St N,,,Columbus,ON,,L1H,CA,Township of Durham
-78.84901531,43.8619128,5,Lake Vista Community Centre,Community Centre,Community Centre, ,450 EMERALD AVE,43.861837,-78.849399,0.9,rooftop,450,Emerald Ave,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.83832653,43.86782439,6,Southmead Community Centre,Community Centre,Community Centre, ,103 KAWARTHA AVE,43.868198,-78.839418,0.9,rooftop,103,Kawartha Ave,,,Columbus,ON,,L1H,CA,Township of Durham
-78.86319094,43.91084707,7,Connaught Community Centre,Community Centre,Community Centre, ,435 JARVIS ST,43.910668,-78.863121,1,rooftop,435,Jarvis St,,,Oshawa,ON,,L1G,CA,Township of Durham
-78.86152458,43.88295299,8,Storie Community Centre,Community Centre,Community Centre, ,101 MILL ST,43.883199,-78.861105,0.9,rooftop,101,Mill St,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.86984265,43.92987367,9,Northview Community Centre,Community Centre,Community Centre, ,150 BEATRICE ST E,43.929772,-78.869784,1,rooftop,150,Beatrice St E,,,Oshawa,ON,,L1G,CA,Township of Durham
-78.87326431,43.92827451,10,North Oshawa Community Centre,Community Centre,Community Centre, ,1139 MARY ST N,43.928206,-78.873089,1,rooftop,1139,Mary St N,,,Oshawa,ON,,L1G,CA,Township of Durham
-78.85077826,43.89589936,11,Bathe Community Centre,Community Centre,Community Centre, ,298 EULALIE AVE,43.895644,-78.850679,0.9,rooftop,298,Eulalie Ave,,,Columbus,ON,,L1H,CA,Township of Durham
-78.81677462,43.90276701,12,MacKenzie Park Clubhouse,Community Centre,Community Centre, ,1234 MACKENZIE AVE,43.902957,-78.81692,1,rooftop,1234,Mackenzie Ave,,,Columbus,ON,,L1H,CA,Township of Durham
-78.85516897,43.89178882,13,Sunnyside Community Centre,Community Centre,Community Centre, ,260 MCKIM ST,43.89108,-78.854434,0.9,rooftop,260,McKim St,,,Columbus,ON,,L1H,CA,Township of Durham
-78.89642974,43.89635589,14,Thornton/Dundee Community Centre,Community Centre,Community Centre, ,210 THORNTON RD N,43.896424,-78.896144,0.9,rooftop,210,Thornton Rd N,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.87144343,43.89773632,15,Valleyview Community Centre,Community Centre,Community Centre, ,81 GLADSTONE AVE,43.897958,-78.871656,0.9,rooftop,81,Gladstone Ave,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.84743738,43.9060119,16,Woodview Community Centre,Community Centre,Community Centre, ,151 CADILLAC AVE N,43.906095,-78.847574,1,rooftop,151,Cadillac Ave N,,,Oshawa,ON,,L1G,CA,Township of Durham
-78.87028717,43.88913605,17,Rundle Community Centre,Community Centre,Community Centre, ,241 PARK RD S,43.889115,-78.870319,0.9,rooftop,241,Park Rd S,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.88291121,43.89763591,18,Fernhill/Nipigon Community Centre,Community Centre,Community Centre, ,144 FERNHILL BLVD,43.897774,-78.883048,0.9,rooftop,144,Fernhill Blvd,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.88403416,43.88816534,19,Glen Stewart Community Centre,Community Centre,Community Centre, ,201 CABOT ST,43.887948,-78.883957,0.9,rooftop,201,Cabot St,,,Thornton's Corners,ON,,L1J,CA,Township of Durham
-78.83619371,43.88820218,20,Kingside Community Centre,Community Centre,Community Centre, ,537 TENNYSON AVE,43.888155,-78.836159,0.9,rooftop,537,Tennyson Ave,,,Columbus,ON,,L1H,CA,Township of Durham
