X,Y,OBJECTID,FULLNAME,ADDRESS,ADDRESS_NUM,ADDRESS_UNIT,ADDRESS_QUALIFIER,ADDRESS_STREET,Latitude,Longitude
-78.85835956,43.91535949,92879,Hillsdale Public School,525 OSHAWA BLVD N,525,,,OSHAWA BLVD N,43.915376,-78.858345
-78.86245208,43.90118348,92887,Mary Street Community School,110 MARY ST N,110,,,MARY ST N,43.901017,-78.862944
-78.83531965,43.91065809,92891,Vincent Massey Public School,211 HARMONY RD N,211,,,HARMONY RD N,43.91066,-78.835304
-78.87332219,43.87953053,92892,College Hill Public School,530 LAVAL ST,530,,,LAVAL ST,43.880079,-78.87351
-78.87475539,43.92510021,92902,Blaisdale Montessori Oshawa Campus,1037 SIMCOE ST N,1037,,,SIMCOE ST N,43.925259,-78.874369
-78.89080237,43.88989508,92906,Trent University,55 THORNTON RD S,55,,,THORNTON RD S,43.890199,-78.890749
-78.85481769,43.87249788,92909,Glen Street Public School,929 GLEN ST,929,,,GLEN ST,43.872535,-78.854023
-78.82080907,43.90949112,92913,Kingsway College,1200 LELAND RD,1200,,,LELAND RD,43.910146,-78.820661
-78.81764372,43.91190471,92914,College Park Elementary School,220 TOWNLINE RD N,220,,,TOWNLINE RD N,43.912006,-78.817097
-78.84975435,43.93484536,92916,St. Joseph Catholic School,1200 SUMMERWOOD HEIGHTS,1200,,,SUMMERWOOD HEIGHTS,43.934698,-78.850213
-78.81946681,43.89856555,92917,Forestview Public School,285 GRANDVIEW ST S,285,,,GRANDVIEW ST S,43.898727,-78.819641
-78.85784786,43.89732846,92920,UOIT - Faculty of Social Science and Humanities,61 CHARLES ST,61,,,CHARLES ST,43.897262,-78.857857
-78.8362705,43.91154165,92921,Eastdale C.V.I.,265 HARMONY RD N,265,,,HARMONY RD N,43.912238,-78.83477
-78.86634748,43.90581256,92922,O'Neill C.V.I.,301 SIMCOE ST N,301,,,SIMCOE ST N,43.906218,-78.865485
-78.80813286,43.89170085,92924,Campbell's Children School (at Grandview Children's Centre),600 TOWNLINE RD S,600,,,TOWNLINE RD S,43.891943,-78.808057
-78.88585572,43.90188916,92925,Woodcrest Public School,506 WOODCREST AVE,506,,,WOODCREST AVE,43.901641,-78.885786
-78.8409449,43.87289379,92927,Bobby Orr Public School,7 WATERLOO ST,7,,,WATERLOO ST,43.873494,-78.84018
-78.87148502,43.88315545,92931,St. Thomas Aquinas Catholic School,400 PACIFIC AVE,400,,,PACIFIC AVE,43.883468,-78.872157
-78.87624405,43.92947128,92936,Queen Elizabeth Public School,1205 SIMCOE ST N,1205,,,SIMCOE ST N,43.929457,-78.876186
-78.85418699,43.91461433,92937,Walter E. Harris Public School,495 CENTRAL PARK BLVD N,495,,,CENTRAL PARK BLVD N,43.914436,-78.854158
-78.84328675,43.91948585,92943,Harmony Heights Public School,590 GALAHAD DR,590,,,GALAHAD DR,43.91935,-78.843045
-78.83785072,43.89025879,92945,Gertrude Colpus Public School,570 SHAKESPEARE AVE,570,,,SHAKESPEARE AVE,43.890721,-78.83774
-78.87109435,43.88210245,92948,Ecole Elementaire Catholique Corpus-Christi School,362 HILLSIDE AVE,362,,,HILLSIDE AVE,43.882346,-78.871135
-78.83432241,43.93261928,92951,Pierre Elliot Trudeau Public School,1111 BEATRICE ST E,1111,,,BEATRICE ST E,43.932852,-78.834352
-78.89389068,43.91141801,92953,Monsignor Paul Dwyer Catholic High School,700 STEVENSON RD N,700,,,STEVENSON RD N,43.911435,-78.893536
-78.84376302,43.88083222,92956,Monsignor John Pereyma Catholic Secondary School,316 CONANT ST,316,,,CONANT ST,43.88081,-78.843729
-78.8482323,43.90815732,92958,Great Beginnings Montessori School & Durham Elementary Private School,505 ADELAIDE AVE E,505,,,ADELAIDE AVE E,43.908259,-78.848196
-78.86459999,43.89395626,92963,E. A. Lovell Adult & Continuing Education Centre,120 CENTRE ST S,120,,,CENTRE ST S,43.894028,-78.865264
-78.8700587,43.91392372,92965,Dr. S.J. Phillips Public School,625 SIMCOE ST N,625,,,SIMCOE ST N,43.914359,-78.870326
-78.89043671,43.90068662,92968,Ecole Anotinine Maillet/ Durham Christian Academy,615 RIDGEWAY AVE,615,,,RIDGEWAY AVE,43.900501,-78.890211
-78.84530054,43.85996357,92971,G.L. Roberts C.V.I.,399 CHALEUR AVE,399,,,CHALEUR AVE,43.86037,-78.845804
